label,text
1,"@ good morning , and that 's good to hear"
1,@ what ? !
1,"1st day back at work went fast and got a lot done . now , off to dinner"
1,@ nice ! got your postcard this morning too !
1,"@ 3rd floor pantry , just had lunch lollipops & amp ;"
1,my mind ! ! ! !
0,"@ i 've been fiddling with url , too , but no joy"
1,"@ hahahaha , it 's habit . you 're cute"
1,@ bass_ stop it ... you 're making me rofl
0,@ aww you decided to go and it did n't work out ?
1,@ borough bx
1,@ lol that last tweet about sounded like a viz top tip
1,@ thank you my lovely
0,@ and i fell asleep 10 minutes into the roast .
0,the # net is so # slow on # in # # # fail
1,heading over to the pc to watch the indoor soccer game
0,@ ... not well . must postpone .
0,@ i 'm not going to just arizona
0,awake since 3 am .
1,@ just lem me know . right now waiting to go outs .
0,another hot day in #
0,@ aww ur making me miss having a kitten
0,news flash ... @ does n't care about me
1,"@ alhamdulillah it was fine , ya , masih !"
1,up on saturday http :
0,hates bad office ...
0,@ let me stalk you now
0,wishing she would give me a chance
1,@ i wish i were a cute young asian girl . i would get that many views too .
1,"@ yeah , when i win the lottery ."
1,not again i love tila tequila
0,@ the french open is ruining my normal sunday morning routine
1,"mmm ... fake meat sausage links , seed waffles and a cherry dr pepper for breakfast ."
1,feeling great in my new bedroom
1,"@ had a fun day , also shot some video material"
1,@ i just . seriously . in your eye . classic loren still laughing
1,@ thanks in advance # ( @ @ shaktijs @ @ )
1,@ oh i will be praying for you and him and family
1,@ can
0,"@ yeah , but , i 'm still bumming ."
1,@ oh ! i like terminator too !
1,pool tonight against club ! ! !
0,@ awe . i wish i could get on .
1,"@ geez anna , when are you leaving tomorrow ?"
1,"@ thanks for the link , leo ! i just it and it really did pick my mood up ."
0,@ i do n't know how to digg .
1,i cant believe i got 3 of the best following me who will hit me up next omg
1,has written today 's blog already . http :
1,@ sorcha69 it was pretty good yeah . off to in leeds
1,@ yey ! had twitter for a while ; ) lol
0,@ no way ! one less great rooftop spot for pdx
0,"@ babe , i ca n't sleep either !"
1,surprisingly sunny day in san francisco !
1,watching the revolution of sex w/ my baybee
1,going home in 2 weeks and goign to see in the summer for the first time in 2 years ! going to miss luna though
1,@ @ @ @ @ @ @ thanks for #
0,@ i 'm sorry
1,rouge my life movie
0,heading to god knows where
0,is very disapointed in jon & amp ; kate ...
1,only 16 days til ' graduation
0,but why does my back hurt like this ?
1,do more goodbyes tomorrow .
1,"yay , new glasses ."
0,@ think i lost hope yrs ago
0,@ why is it your last tour ? ?
1,@ lucascruikshank holy ... ! ! ! ! im so there ! !
1,taking my car into the shop today
0,"back home , missing the coolest , , and all over the world ."
1,@ i know what you mean ! it 's time for bed
1,@ dougiemcfly please please please say hey to @ elliemcfly she loves you ! pleaseee ! x
0,laying in bed reading . contemplating if i 'll ever heal . make believe life is perfect ? not after this long
0,@ whats it for . i 'm outta the loop . as usual
1,"alyssa said : ' i have baby mosquito bites daddy . ' i replied , , baby hafta eat too . ' we laughed ."
1,"& quot ; are you a beauty or a geek & quot ; quiz and my result is -- & gt ; you are a beauty with a gold heart .. haha , am i ? .."
1,good morning
1,"rip acer 2010 , you 've been great to me for 4 years of my undergrad ! everyone say bye to lappie !"
1,@ next time daw . overnight swimming .
0,talking to a brick wall * sigh * lost for words
1,having a good day
0,@ my mates there today so jealous
1,twenty marketing articles - take your pick - http : - no or to mess with
1,@ ok. thanks .
0,up earlier because of a stupid appointment
0,sad that jimmy has to work today .
0,why do like to chase me
0,it 's not worth it . do n't bother . http :
0,brother left for iraq today .
1,eating noodles for breakfast probably is n't a good idea . but it tastes so good
0,argh ! attack ! ! !
1,@ ? ts
0,cant go to # marathon . very upset
0,said they might delay the start of classes and change it to july instead .......
1,@ thank you for the ff mention !
1,@ auckland ! still playing sims3 ?
0,@ they said due to circumstances .
1,hanging out w/ caitlin & amp ; her bro & amp ; co ... gooood times
1,finally blogged again ! http :
0,@ is it ever ?
1,watching the simpsons
1,ok going to really get done here
0,"stop calling , it 's not working"
0,should i stay with a guy who hasnt even got enough money for petrol .. or find someone that is a grown up
1,folding clothes
1,@ ! ! beck ?
0,"feeling misreable , this is why i never go out . i need a dance partner asap ! !"
0,is wishing that the sun would come back out . not enjoying all the rain
1,@ guitarlove08 i saw it on oceanup .. it was ! .. * sighs * nick . and joe .. and kevin bahah .
1,up & amp ; at 'em ... bright and early
0,@ yup she 's okay . but she has to stay at the hospital for a few more days due to all the antibiotics they have to give her .
0,not okay - drew scott support thomas
1,"heading on the 2nd half of our road trip to darwin , no for another 1500 km ! ! !"
1,"all being entirely new routines , my be w/ my ladies , their choreo , my solos - leaving the rest in and 's capable hands"
0,argh i feel like a anoop i miss your !
0,my phone going dead . no way to charge it lol
0,is really wobbly again after a really good morning . i
1,we are off to a girly birthday party .
0,you are soo far awayy
0,the short stack r gon na be on isnt working its not letting me say shiz ! ! !
1,@ dont blow up !
0,my blog is not !
0,sister just left for college !
0,still feeling icky today and it 's pouring down rain
1,has got a proper scratched chest off the rats .
0,rainy days ... adding blues to monday blues .. http :
0,"my new medication is messing with my sleep . im supposed to go dancing tonite but im so exhausted , this sucks"
0,oh work . jack is n't gon na make it through the night . tears and ice cream and i 'm still sad .
0,recital ! my hair looks like crap
0,@ .. i 'm taking mine today too .. not okay with this
1,@ everybody loves rain ! because rain is hot and sweet
1,interview today .
1,@ xdidi lol .. have fun with ur dinner
1,where is my boo at ? ? * pouts * he needs to hit me up today
0,you 're all a bunch of revolting
0,beyonce is in this weekend and i have no tickets pulls some strings ! ! ! @
0,( @ ) : do not floss the morning before a dentist appt . i has a hurt
1,@ because you know where i live
1,church then lunch with the grandparents
0,back at the doctor
1,listening to fall out boy
0,everyone is saying @ shanedawson 's new vid is super funny ... and i cant watch it coz i has no internet !
1,snow in june in calgary .
0,"great , my girlfriend has got into a of smashing very expensive glass @ bery bad news ."
1,had a great day yesterday with tim and a good evening with anna now just has today by herself xx
1,@ mariahcarey
1,is about to go to life group . awesome
0,tweets are disappearing again
1,"welcoming - those of you who do not already read his blog on fridays , join in !"
0,some news : social media is not the answer | 's blog http :
1,"da ! lol , and sleep tight . and ttyl da people ."
1,visiting alli in the hospital tomorrow i miss her and do n't want to see her in pain .
0,"ggrr , lil sissy was gon na learn german for her second language and i was going to learn it after her but picked italian instead"
1,"most people are just winding down for the day , i 'm only just getting started ..."
1,going to see john 's sister 's baby
0,argh was hour late for work because the mr accidently me in his sleep - got a lil bit of a black eye now and a headache
0,"seems like an odd reason to stop follow , but to each his own @ : i stopped following @ . does n't tweet enough"
0,i 'm fighting to let go of the pillow top i have to make moves . got no sleep still have a headache . it up & amp ; on !
0,im really sick
1,and i really wanted to read that chapter on the philadelphia experiment too !
0,latest # twitterfon update ; whats this suspended by studio ' about then ? ... and still ca n't post pics in # tweetie
0,why does my house have no batteries anywhere inside it ? why wo n't my mum pick up her phone ? i want to play lego batman
1,"so my first day back to work since my vacation .. it was kinda long , but i just off mostly miss hawaii"
0,i do n't even remember the last time i was this tired
0,argh - more rain
0,work again
0,i just got a call form work saying more hours got cut
0,i only have 6 followers how do i get more ? ? ? ?
1,i have a great blues voice at the mo ! but said that it is making his eyes hurt
0,"'s have left and i feel lonely im so lonely ! i have no body for my own aaaah ! , except , i do ; )"
1,@ thank you so much for making the lakers theme for my
0,trying to focus on my writing and ignore the thunder . the very scary loud thunder . i hate storms !
1,"oooh , google wave se ve cool"
1,i cant listen to tonic now without thinking of
1,damn i just finished the signs i am just nice to ppl .
1,cooking ... hang out with later ?
0,"game over , season over back to the championship it is ."
1,"@ yeah , certainly ! i loved oops last moment ) ) stephen is great !"
0,i really wish moblin v2 for the hp mini 1000 had working wireless .
0,simon felice is no longer playing with the felice brothers . i 'm not sure how i feel about that .
1,1st day pre bday celebration with d family
1,liked very much du - ! definitely circus 2.0
0,"i got a whole 4.5 hours of sleep last night because for whatever reason , i could n't fall asleep"
1,"today 's horoscope says & quot ; there 's never a dull moment & quot ; when i 'm around . and yes , it meant that in a good way ."
1,remember http :
0,no more football
0,missing the old day !
1,bought to much stuff at lush ... smell like some candy bar
