label,text
1,@
1,@
0,worst day
1,@ exams you get to do at home ?
0,"cough cough cough , ahhhhh"
1,@
1,@
0,3.0 where are you
0,about to call it a night ... not really feeling good
0,i do n't feel good today
0,"@ no problem . i 'm okay but i 've been better , my laptop is being stupid how are you ?"
0,argh this time of the morning should be banned
0,brain hurts has been thinking too much boo hoo
0,@ no ! ! settled for some rubbish chicken soup and ... i know how to live eh ! ! !
1,@ da
1,"@ hi eliza ! thanks for the follow request , i use this account for & amp ; not the other one"
0,"i hate goodbye days it 's the worst thing that exists . but i guess i 'll see them around , though"
1,"... enjoying a glass of wine , catching up on , listening to soothing music , and having fun ."
1,@ way to make me jealous ! no bugs in my game .
1,http : got ta love your aggressive neighbors !
0,@ no its in memphis
1,@ nawww i love the bradie so cute ! xx
1,@ twitter
0,@ are you moving away ?
1,to see and
1,@ me too ! ! !
1,"is watching you , me , and"
1,@ me too !
1,@ i suspect your right .
1,@ i let all my out early sunday morning
0,@ poor dog is he still outside now ?
1,@ i need to visit lakewood church atleast once in my life ! more than once would be nice too ..
0,feeling ashamed that germany now has a law that for the internet
1,is having a blast exploring ! luke has gotten pic 's taken of him by people from around the world . he 's a !
0,...
0,...
1,@ where r u ? ? i 'm in
1,@ there 's a couple ppl working on it ...
1,how can i get online ? or at least earn 10 $ a year form now
1,man my ! 3 cd now
0,if u dont go then ..... wont go im not sayin wats for reason .... ; )
0,"dear fruit , why are you so expensive ? especially you , and . you are the , yet so in ."
0,fuck . i just my nail off ! ! they were long too !
0,is new to twitter and does n't have a clue what to do
1,not really . i dont go out much . but i did go out tonite !
0,my turn to play hunt the missing wallet today
1,"# morning all . just set up my fav charity with a twitter account - told them you 're all , pls @ ta"
1,to tube and boat !
1,carlo got me all set up on twitter so y'all look out .
1,last day of my placement today x
1,@ h i knew u were playing xx
1,is feeling artistic and is breaking out the good stuff
1,@ snap ! shorts rock !
1,@ yea xx
0,"@ : , it 's nor fair ."
1,; time
1,@ my mind the computer
0,@ u did n't invite me to the party
0,@ i took it off in a fit of cleaning and i think the kitty ran off with it
0,@ but of course i 'm boring like that . and i found that gained me little money nor experience
1,trying to get a twitter pic up people !
1,@ thanks for following me ! jesus is good * *
1,good morning to all ! oops dont know if the message went out to everyone
0,well shit 3am
1,"@ djknucklehead follow me , please"
0,@ lol sadly i did n't find it
0,@ i ca n't you anymore ...
0,"is still drunk , i feel like shit 4 hours of sleep"
0,! in college sleep on the desk .. ir workin ' x
1,i kno right
0,"so i did n't have icing , being the brilliant me i put chocolate cream instead , now the is slowly melting on the cake ! fml"
1,is up early and sunshine - having my breakfast outside
1,"no probs , u asked to be retweeted , i am happy to oblige"
1,"ok , dates getting better - hitting happy hour @ ( right next to ) http :"
0,has no # fb
0,missing my mommy
1,hello world what shall i do today ?
0,"( @ ) note to self : dont get on the bus , get hit by it ! i have really had enough"
0,sorry to say the new job will not allow me to access twitter or facebook or any other social networking
1,eatin some delish food ! then outside with !
0,@ yeah i just looked it up ugh im scared now
0,just work the week . forward to tomorrow . day after long weekend = never a good time .
1,"@ only the greatest of , ."
0,@ yeah lol we go thru this every day unfortunately ....
0,rain delay . being held at camp #
0,cleaning my room
0,cleaning my room
1,follow @
0,@ i dont follow back anybody anyway
0,@ your car smells like poop
