acquisition_function,seed_size,active_batch_size,accuracy
entropy_score,10000,10,"[0.48916667 0.51013889 0.49694444 0.50736111 0.53472222 0.54111111
 0.5575     0.56      ]"
entropy_score,10000,25,"[0.50666667 0.49444444 0.50722222 0.49555556 0.51361111 0.54625
 0.51069444 0.53916667]"
entropy_score,10000,50,"[0.50513889 0.51347222 0.51277778 0.50875    0.55277778 0.55694444
 0.55833333 0.56888889]"
entropy_score,15000,10,"[0.51083333 0.51041667 0.50305556 0.53583333 0.52027778 0.55875
 0.55666667 0.57916667]"
entropy_score,15000,25,"[0.49416667 0.49486111 0.50652778 0.51208333 0.50958333 0.50986111
 0.55527778 0.52611111]"
entropy_score,15000,50,"[0.50902778 0.49916667 0.50916667 0.54986111 0.55583333 0.57513889
 0.57791667 0.60083333]"
entropy_score,20000,10,"[0.49125    0.505      0.52152778 0.53694444 0.53777778 0.53263889
 0.57958333 0.57291667]"
entropy_score,20000,25,"[0.49763889 0.51263889 0.5325     0.53347222 0.58944444 0.60791667
 0.63375    0.64041667]"
entropy_score,20000,50,"[0.50708333 0.51458333 0.55763889 0.55722222 0.59694444 0.59986111
 0.64291667 0.64861111]"
entropy_score,5000,10,"[0.49472222 0.50458333 0.49930556 0.49555556 0.50305556 0.49680556
 0.49763889 0.50847222]"
entropy_score,5000,25,"[0.49513889 0.49805556 0.49513889 0.49805556 0.50152778 0.49722222
 0.50347222 0.50791667]"
entropy_score,5000,50,"[0.49513889 0.50027778 0.49736111 0.49458333 0.50111111 0.50444444
 0.49375    0.49263889]"
lc_mcw,10000,10,"[0.50375    0.50222222 0.51527778 0.53180556 0.55833333 0.56347222
 0.56458333 0.56083333]"
lc_mcw,10000,25,"[0.49722222 0.51083333 0.49208333 0.49569444 0.52458333 0.53847222
 0.56097222 0.54861111]"
lc_mcw,10000,50,"[0.49458333 0.50180556 0.50263889 0.545      0.55805556 0.55513889
 0.57930556 0.57541667]"
lc_mcw,15000,10,"[0.51416667 0.53152778 0.51722222 0.56833333 0.57069444 0.57680556
 0.58958333 0.58263889]"
lc_mcw,15000,25,"[0.50194444 0.51486111 0.54305556 0.52763889 0.56805556 0.56208333
 0.58236111 0.56138889]"
lc_mcw,15000,50,"[0.49638889 0.51361111 0.51930556 0.51166667 0.56069444 0.59791667
 0.56666667 0.63486111]"
lc_mcw,20000,10,"[0.51027778 0.54777778 0.56611111 0.57875    0.62180556 0.6125
 0.61222222 0.63916667]"
lc_mcw,20000,25,"[0.51708333 0.54263889 0.52944444 0.57930556 0.60125    0.59944444
 0.62819444 0.63138889]"
lc_mcw,20000,50,"[0.49708333 0.56166667 0.59027778 0.58930556 0.62402778 0.63736111
 0.63402778 0.66430556]"
lc_mcw,5000,10,"[0.50638889 0.49972222 0.50361111 0.51208333 0.50555556 0.49694444
 0.49916667 0.51208333]"
lc_mcw,5000,25,"[0.50138889 0.49166667 0.52125    0.50833333 0.51722222 0.51388889
 0.52222222 0.54611111]"
lc_mcw,5000,50,"[0.49027778 0.51013889 0.49444444 0.50819444 0.50069444 0.50569444
 0.55222222 0.54541667]"
least_confidence,10000,10,"[0.50236111 0.49333333 0.50486111 0.50430556 0.50944444 0.5375
 0.55347222 0.52902778]"
least_confidence,10000,25,"[0.49930556 0.49291667 0.5075     0.49333333 0.505      0.51319444
 0.54041667 0.5675    ]"
least_confidence,10000,50,"[0.49555556 0.49263889 0.52263889 0.49555556 0.53361111 0.55097222
 0.54569444 0.55638889]"
least_confidence,15000,10,"[0.50194444 0.50902778 0.50791667 0.53069444 0.51430556 0.52222222
 0.51458333 0.54791667]"
least_confidence,15000,25,"[0.49694444 0.4925     0.49902778 0.52944444 0.56527778 0.58791667
 0.61236111 0.61194444]"
least_confidence,15000,50,"[0.50388889 0.50875    0.51930556 0.49694444 0.51069444 0.54055556
 0.58027778 0.59625   ]"
least_confidence,20000,10,"[0.50444444 0.51555556 0.53847222 0.53541667 0.57319444 0.60152778
 0.60486111 0.63986111]"
least_confidence,20000,25,"[0.50583333 0.52625    0.57263889 0.56125    0.56861111 0.57125
 0.58819444 0.59333333]"
least_confidence,20000,50,"[0.49194444 0.51333333 0.57791667 0.59125    0.59263889 0.60888889
 0.61527778 0.665     ]"
least_confidence,5000,10,"[0.49583333 0.48777778 0.49138889 0.50458333 0.51277778 0.51875
 0.49763889 0.52263889]"
least_confidence,5000,25,"[0.48791667 0.49347222 0.50222222 0.49430556 0.50722222 0.51166667
 0.51680556 0.50444444]"
least_confidence,5000,50,"[0.49930556 0.50263889 0.50180556 0.50013889 0.50486111 0.49847222
 0.50458333 0.51805556]"
mcw,10000,10,"[0.50097222 0.51333333 0.49958333 0.55055556 0.54819444 0.57236111
 0.57055556 0.59111111]"
mcw,10000,25,"[0.49763889 0.50416667 0.51125    0.54972222 0.53916667 0.56416667
 0.59958333 0.61638889]"
mcw,10000,50,"[0.50861111 0.49694444 0.51291667 0.55347222 0.56416667 0.55069444
 0.55638889 0.59930556]"
mcw,15000,10,"[0.49305556 0.50347222 0.50763889 0.56652778 0.56902778 0.54944444
 0.57666667 0.55458333]"
mcw,15000,25,"[0.49138889 0.51694444 0.51347222 0.55513889 0.58652778 0.60694444
 0.63930556 0.64208333]"
mcw,15000,50,"[0.50263889 0.51777778 0.56694444 0.57277778 0.57069444 0.54166667
 0.58180556 0.61208333]"
mcw,20000,10,"[0.50430556 0.54375    0.55375    0.53083333 0.57180556 0.62444444
 0.63291667 0.64777778]"
mcw,20000,25,"[0.51222222 0.53013889 0.53986111 0.57694444 0.595      0.60805556
 0.62527778 0.62416667]"
mcw,20000,50,"[0.50611111 0.545      0.5475     0.56541667 0.57875    0.58180556
 0.58513889 0.61222222]"
